Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
LZW_P2_B512,2,512,133.14,39.62,9.565,7.794,S2-16D_V2_002012_20260728,B11
RAW_SemComp,0,256,220.51,0.0,0.0,1.087,S2-16D_V2_001014_20260728,EVI
LZW_P1_B128,1,128,50.77,76.98,7.386,5.516,S2-16D_V2_001014_20260728,EVI
LZW_P1_B256,1,256,49.87,77.39,3.433,3.508,S2-16D_V2_001014_20260728,EVI
LZW_P1_B512,1,512,49.64,77.49,3.15,3.106,S2-16D_V2_001014_20260728,EVI
LZW_P2_B128,2,128,46.52,78.91,4.815,6.675,S2-16D_V2_001014_20260728,EVI
LZW_P2_B256,2,256,44.99,79.6,5.81,1.005,S2-16D_V2_001014_20260728,EVI
LZW_P2_B512,2,512,44.37,79.88,6.207,1.712,S2-16D_V2_001014_20260728,EVI
RAW_SemComp,0,256,220.51,0.0,0.0,2.783,S2-16D_V2_002012_20260728,B09
LZW_P1_B128,1,128,152.27,30.95,15.015,1.617,S2-16D_V2_002012_20260728,B09
LZW_P1_B256,1,256,153.91,30.2,4.669,4.63,S2-16D_V2_002012_20260728,B09
LZW_P1_B512,1,512,156.18,29.18,8.371,3.016,S2-16D_V2_002012_20260728,B09
LZW_P2_B128,2,128,95.88,56.52,9.223,3.815,S2-16D_V2_002012_20260728,B09
LZW_P2_B256,2,256,94.73,57.04,11.957,4.502,S2-16D_V2_002012_20260728,B09
LZW_P2_B512,2,512,94.57,57.11,17.996,8.398,S2-16D_V2_002012_20260728,B09
RAW_SemComp,0,256,220.51,0.0,0.0,2.693,S2-16D_V2_001014_20260728,B08
LZW_P1_B128,1,128,49.19,77.69,8.91,2.122,S2-16D_V2_001014_20260728,B08
LZW_P1_B256,1,256,48.52,78.0,4.704,1.965,S2-16D_V2_001014_20260728,B08
LZW_P1_B512,1,512,48.36,78.07,4.568,2.832,S2-16D_V2_001014_20260728,B08
LZW_P2_B128,2,128,47.39,78.51,8.501,4.417,S2-16D_V2_001014_20260728,B08
LZW_P2_B256,2,256,46.44,78.94,8.499,2.501,S2-16D_V2_001014_20260728,B08
LZW_P2_B512,2,512,46.09,79.1,3.305,2.507,S2-16D_V2_001014_20260728,B08
RAW_SemComp,0,256,220.51,0.0,0.0,1.124,S2-16D_V2_002012_20260728,NDVI
LZW_P1_B128,1,128,163.47,25.87,14.588,3.87,S2-16D_V2_002012_20260728,NDVI
LZW_P1_B256,1,256,163.68,25.77,18.818,2.913,S2-16D_V2_002012_20260728,NDVI
LZW_P1_B512,1,512,164.26,25.51,16.584,8.295,S2-16D_V2_002012_20260728,NDVI
LZW_P2_B128,2,128,156.67,28.95,11.487,2.125,S2-16D_V2_002012_20260728,NDVI
LZW_P2_B256,2,256,155.87,29.32,7.706,1.33,S2-16D_V2_002012_20260728,NDVI
LZW_P2_B512,2,512,155.6,29.44,5.067,3.076,S2-16D_V2_002012_20260728,NDVI
RAW_SemComp,0,256,110.26,0.0,0.0,1.486,S2-16D_V2_002011_20260728,SCL
LZW_P1_B128,1,128,1.92,98.26,3.01,0.705,S2-16D_V2_002011_20260728,SCL
LZW_P1_B256,1,256,1.29,98.83,2.098,1.891,S2-16D_V2_002011_20260728,SCL
LZW_P1_B512,1,512,0.97,99.12,3.206,0.737,S2-16D_V2_002011_20260728,SCL
