Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
DEFLATE_L9_P2,9,2,55.35,74.9,10.86,0.742,S2-16D_V2_002011_20260728,NDVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.363,S2-16D_V2_001014_20260728,NBR
DEFLATE_L1_P2,1,2,34.62,84.3,1.393,0.693,S2-16D_V2_001014_20260728,NBR
DEFLATE_L2_P2,2,2,35.62,83.85,1.525,0.623,S2-16D_V2_001014_20260728,NBR
DEFLATE_L3_P2,3,2,35.62,83.85,1.476,0.637,S2-16D_V2_001014_20260728,NBR
DEFLATE_L5_P2,5,2,35.66,83.83,1.519,0.645,S2-16D_V2_001014_20260728,NBR
DEFLATE_L6_P2,6,2,35.66,83.83,1.67,0.664,S2-16D_V2_001014_20260728,NBR
DEFLATE_L7_P2,7,2,35.63,83.84,2.083,0.675,S2-16D_V2_001014_20260728,NBR
DEFLATE_L8_P2,8,2,35.4,83.95,2.132,0.697,S2-16D_V2_001014_20260728,NBR
DEFLATE_L9_P2,9,2,34.97,84.14,10.714,0.695,S2-16D_V2_001014_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,0.433,S2-16D_V2_001014_20260728,B06
DEFLATE_L1_P2,1,2,34.14,84.52,1.36,0.749,S2-16D_V2_001014_20260728,B06
DEFLATE_L2_P2,2,2,35.16,84.05,1.551,0.693,S2-16D_V2_001014_20260728,B06
DEFLATE_L3_P2,3,2,35.16,84.05,1.444,0.681,S2-16D_V2_001014_20260728,B06
DEFLATE_L5_P2,5,2,35.21,84.03,1.533,0.671,S2-16D_V2_001014_20260728,B06
DEFLATE_L6_P2,6,2,35.21,84.03,1.536,0.679,S2-16D_V2_001014_20260728,B06
DEFLATE_L7_P2,7,2,35.18,84.05,1.894,0.738,S2-16D_V2_001014_20260728,B06
DEFLATE_L8_P2,8,2,35.18,84.05,1.895,0.791,S2-16D_V2_001014_20260728,B06
DEFLATE_L9_P2,9,2,34.45,84.38,7.187,0.7,S2-16D_V2_001014_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.356,S2-16D_V2_002012_20260728,B12
DEFLATE_L1_P2,1,2,98.42,55.37,1.934,0.967,S2-16D_V2_002012_20260728,B12
DEFLATE_L2_P2,2,2,97.99,55.56,2.798,0.949,S2-16D_V2_002012_20260728,B12
DEFLATE_L3_P2,3,2,97.98,55.57,3.272,0.97,S2-16D_V2_002012_20260728,B12
DEFLATE_L5_P2,5,2,99.72,54.78,4.458,1.003,S2-16D_V2_002012_20260728,B12
DEFLATE_L6_P2,6,2,99.68,54.79,5.263,1.05,S2-16D_V2_002012_20260728,B12
DEFLATE_L7_P2,7,2,99.62,54.83,6.474,1.045,S2-16D_V2_002012_20260728,B12
DEFLATE_L8_P2,8,2,99.62,54.83,6.319,1.032,S2-16D_V2_002012_20260728,B12
DEFLATE_L9_P2,9,2,96.44,56.27,16.635,1.017,S2-16D_V2_002012_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,0.419,S2-16D_V2_002011_20260728,B03
DEFLATE_L1_P2,1,2,48.13,78.17,1.602,0.849,S2-16D_V2_002011_20260728,B03
DEFLATE_L2_P2,2,2,49.38,77.61,1.824,0.807,S2-16D_V2_002011_20260728,B03
DEFLATE_L3_P2,3,2,49.38,77.6,1.831,0.804,S2-16D_V2_002011_20260728,B03
DEFLATE_L5_P2,5,2,49.18,77.7,2.017,0.828,S2-16D_V2_002011_20260728,B03
DEFLATE_L6_P2,6,2,49.18,77.7,2.119,0.81,S2-16D_V2_002011_20260728,B03
DEFLATE_L7_P2,7,2,49.16,77.71,2.434,0.762,S2-16D_V2_002011_20260728,B03
DEFLATE_L8_P2,8,2,49.16,77.71,2.365,0.807,S2-16D_V2_002011_20260728,B03
DEFLATE_L9_P2,9,2,48.19,78.15,8.415,0.817,S2-16D_V2_002011_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,0.427,S2-16D_V2_001014_20260728,B07
DEFLATE_L1_P2,1,2,35.01,84.12,1.276,0.699,S2-16D_V2_001014_20260728,B07
DEFLATE_L2_P2,2,2,36.02,83.67,1.437,0.644,S2-16D_V2_001014_20260728,B07
DEFLATE_L3_P2,3,2,36.02,83.67,1.545,0.728,S2-16D_V2_001014_20260728,B07
DEFLATE_L5_P2,5,2,36.13,83.61,1.545,0.656,S2-16D_V2_001014_20260728,B07
DEFLATE_L6_P2,6,2,36.13,83.61,1.511,0.651,S2-16D_V2_001014_20260728,B07
DEFLATE_L7_P2,7,2,36.11,83.62,1.879,0.722,S2-16D_V2_001014_20260728,B07
DEFLATE_L8_P2,8,2,36.11,83.62,1.812,0.737,S2-16D_V2_001014_20260728,B07
